name,address,website,founders_names,founders_linkedin,batch,year,yc_url,per_company_api
Picplum,"San Francisco, CA, USA",picplum.com,Akshay Dodeja; Paul Stamatiou,https://www.linkedin.com/in/dodeja; https://www.linkedin.com/in/pauls/,Summer 2011,2011,https://www.ycombinator.com/companies/picplum,https://yc-oss.github.io/api/batches/summer-2011/picplum.json
Freshplum,"San Francisco, CA, USA",http://freshplum.com,Sam Odio; Nick Alexander,https://linkedin.com/in/samodio; https://www.linkedin.com/in/ndalexander/,Summer 2011,2011,https://www.ycombinator.com/companies/freshplum,https://yc-oss.github.io/api/batches/summer-2011/freshplum.json
HackerRank,"Mountain View, CA, USA; Remote",http://hackerrank.com,Batch: Summer 2011 Team Size: 300 Status: Active Location: Mountain View; Vivek Ravisankar,https://www.linkedin.com/company/hackerrank/; https://www.linkedin.com/in/vivekravisankar,Summer 2011,2011,https://www.ycombinator.com/companies/hackerrank,https://yc-oss.github.io/api/batches/summer-2011/hackerrank.json
Apollo,"San Francisco, CA, USA; Remote",http://apollographql.com/,Geoff Schmidt; Founded: 2012 Batch: Summer 2011 Team Size: 200 Status: Active Location: San Francisco,https://www.linkedin.com/in/gschmidt/; https://www.linkedin.com/company/apollo-graphql/,Summer 2011,2011,https://www.ycombinator.com/companies/apollo,https://yc-oss.github.io/api/batches/summer-2011/apollo.json
Stypi,"San Francisco, CA, USA",stypi.com,Jason Chen; Byron Milligan,https://www.linkedin.com/in/jhchen/; https://linkedin.com/in/byron-milligan,Summer 2011,2011,https://www.ycombinator.com/companies/stypi,https://yc-oss.github.io/api/batches/summer-2011/stypi.json
Genius,"NY, USA",https://genius.com,Founded: 2009 Batch: Summer 2011 Team Size: 101 Status: Acquired Location: NY; Tom Lehman; Ilan Zechory,https://www.linkedin.com/company/geniusdotcom/; https://linkedin.com/in/lehmant; https://www.linkedin.com/in/ilan-zechory-18a13510a,Summer 2011,2011,https://www.ycombinator.com/companies/genius,https://yc-oss.github.io/api/batches/summer-2011/genius.json
Clerky,"Palo Alto, CA, USA; Burlingame, CA, USA; Remote",https://www.clerky.com,Darby Wong; Chris Field; Founded: 2011 Batch: Summer 2011 Team Size: 15 Status: Active Location: Palo Alto,https://www.linkedin.com/in/darbywong/; https://www.linkedin.com/in/fieldchris; https://www.linkedin.com/company/clerky-inc-/,Summer 2011,2011,https://www.ycombinator.com/companies/clerky,https://yc-oss.github.io/api/batches/summer-2011/clerky.json
OneSignal,"San Mateo, CA, USA",https://onesignal.com,"George Deglin; Long Vo; Founded: 2011 Batch: Summer 2011 Team Size: 150 Status: Active Location: San Mateo, CA",https://www.linkedin.com/in/gdeglin; https://www.linkedin.com/in/longvo/; https://www.linkedin.com/company/onesignal/,Summer 2011,2011,https://www.ycombinator.com/companies/onesignal,https://yc-oss.github.io/api/batches/summer-2011/onesignal.json
Zigfu,"San Francisco, CA, USA",http://breaks.nu,Ted Blackman; Amir Hirsch; Shlomo Zippel,https://www.linkedin.com/in/ted-blackman-8628164; https://www.linkedin.com/in/amirhirsch/; https://www.linkedin.com/in/shlomozippel,Summer 2011,2011,https://www.ycombinator.com/companies/zigfu,https://yc-oss.github.io/api/batches/summer-2011/zigfu.json
PayDragon,"Los Angeles, CA, USA",http://paperlinks.com,Hamilton Chan,https://www.linkedin.com/in/hamiltonchan/,Summer 2011,2011,https://www.ycombinator.com/companies/paydragon,https://yc-oss.github.io/api/batches/summer-2011/paydragon.json
